wealth_state,income_state,var,variable,value
0.05,9.0,H_own,var_l2,0.0
0.05,9.0,H_rent,var_l2,1.428375
0.05,9.0,Q,var_l2,0.021516
0.05,9.0,Y,var_l2,8.0
0.05,10.0,C,var_l2,0.838023
0.05,10.0,H_own,var_l2,0.0
0.05,10.0,H_rent,var_l2,1.428395
0.05,10.0,Q,var_l2,0.02302
0.05,10.0,Y,var_l2,8.0
0.06,6.0,C,var_l2,0.593341
0.06,6.0,H_own,var_l2,0.0
0.06,6.0,H_rent,var_l2,1.011424
0.06,6.0,Q,var_l2,0.122969
0.06,6.0,Y,var_l2,5.0
0.06,7.0,C,var_l2,0.8128275
0.06,7.0,H_own,var_l2,0.0
0.06,7.0,H_rent,var_l2,1.38527
0.06,7.0,Q,var_l2,0.1181355
0.06,7.0,Y,var_l2,7.5
0.06,8.0,C,var_l2,0.803173
0.06,8.0,H_own,var_l2,0.0
0.06,8.0,H_rent,var_l2,1.369153
0.06,8.0,Q,var_l2,0.050578
0.06,8.0,Y,var_l2,7.0
0.06,9.0,C,var_l2,0.83792
0.06,9.0,H_own,var_l2,0.0
0.06,9.0,H_rent,var_l2,1.428092
0.06,9.0,Q,var_l2,0.0251775
0.06,9.0,Y,var_l2,8.0
0.06,10.0,C,var_l2,0.945494
0.06,10.0,H_own,var_l2,0.0
0.06,10.0,H_rent,var_l2,1.610722
0.06,10.0,Q,var_l2,0.063998
0.06,10.0,Y,var_l2,9.0
0.07,7.0,C,var_l2,0.785993
0.07,7.0,H_own,var_l2,0.0
0.07,7.0,H_rent,var_l2,1.338759
0.07,7.0,Q,var_l2,0.121207
0.07,7.0,Y,var_l2,7.0
0.07,8.0,C,var_l2,0.796941
0.07,8.0,H_own,var_l2,0.0
0.07,8.0,H_rent,var_l2,1.35831
0.07,8.0,Q,var_l2,0.05143
0.07,8.0,Y,var_l2,7.0
0.07,9.0,C,var_l2,0.704577
0.07,9.0,H_own,var_l2,0.0
0.07,9.0,H_rent,var_l2,1.200533
0.07,9.0,Q,var_l2,0.001188
0.07,9.0,Y,var_l2,7.0
0.08,7.0,C,var_l2,0.822826
0.08,7.0,H_own,var_l2,0.0
0.08,7.0,H_rent,var_l2,1.401906
0.08,7.0,Q,var_l2,0.1454955
0.08,7.0,Y,var_l2,7.5
0.08,8.0,C,var_l2,0.814725
0.08,8.0,H_own,var_l2,0.0
0.08,8.0,H_rent,var_l2,1.387874
0.08,8.0,Q,var_l2,0.054783
0.08,8.0,Y,var_l2,7.0
0.08,9.0,C,var_l2,0.7219545
0.08,9.0,H_own,var_l2,0.0
0.08,9.0,H_rent,var_l2,1.229802
0.08,9.0,Q,var_l2,0.001188
0.08,9.0,Y,var_l2,7.0
0.08,10.0,C,var_l2,0.721623
0.08,10.0,H_own,var_l2,0.0
0.08,10.0,H_rent,var_l2,1.229428
0.08,10.0,Q,var_l2,0.001188
0.08,10.0,Y,var_l2,7.0
0.09,7.0,C,var_l2,0.789982
0.09,7.0,H_own,var_l2,0.0
0.09,7.0,H_rent,var_l2,1.345765
0.09,7.0,Q,var_l2,0.145113
0.09,7.0,Y,var_l2,7.0
0.09,8.0,C,var_l2,0.805002
0.09,8.0,H_own,var_l2,0.0
0.09,8.0,H_rent,var_l2,1.371698
0.09,8.0,Q,var_l2,0.0586435
0.09,8.0,Y,var_l2,7.0
0.09,9.0,C,var_l2,0.8522635
0.09,9.0,H_own,var_l2,0.0
0.09,9.0,H_rent,var_l2,1.4518475
0.09,9.0,Q,var_l2,0.034797
0.09,9.0,Y,var_l2,8.0
0.1,8.0,C,var_l2,0.8183015
0.1,8.0,H_own,var_l2,0.0
0.1,8.0,H_rent,var_l2,1.393907
0.1,8.0,Q,var_l2,0.073968
0.1,8.0,Y,var_l2,7.0
0.1,9.0,C,var_l2,0.738707
0.1,9.0,H_own,var_l2,0.0
0.1,9.0,H_rent,var_l2,1.258749
0.1,9.0,Q,var_l2,0.001185
0.1,9.0,Y,var_l2,7.0
0.1,10.0,C,var_l2,0.94078
0.1,10.0,H_own,var_l2,0.0
0.1,10.0,H_rent,var_l2,1.602838
0.1,10.0,Q,var_l2,0.100903
0.1,10.0,Y,var_l2,9.0
0.11,8.0,C,var_l2,0.795727
0.11,8.0,H_own,var_l2,0.0
0.11,8.0,H_rent,var_l2,1.356009
0.11,8.0,Q,var_l2,0.068541
0.11,8.0,Y,var_l2,7.0
0.11,9.0,C,var_l2,0.7540385
0.11,9.0,H_own,var_l2,0.0
0.11,9.0,H_rent,var_l2,1.284673
0.11,9.0,Q,var_l2,0.001193
0.11,9.0,Y,var_l2,7.0
0.11,10.0,C,var_l2,0.7644465
0.11,10.0,H_own,var_l2,0.0
0.11,10.0,H_rent,var_l2,1.3025105
0.11,10.0,Q,var_l2,0.000181
0.11,10.0,Y,var_l2,8.0
0.12,8.0,C,var_l2,0.792501
0.12,8.0,H_own,var_l2,0.0
0.12,8.0,H_rent,var_l2,1.350498
0.12,8.0,Q,var_l2,0.0775605
0.12,8.0,Y,var_l2,7.0
0.12,9.0,C,var_l2,0.850383
0.12,9.0,H_own,var_l2,0.0
0.12,9.0,H_rent,var_l2,1.449152
0.12,9.0,Q,var_l2,0.059299
0.12,9.0,Y,var_l2,8.0
0.12,10.0,C,var_l2,0.895088
0.12,10.0,H_own,var_l2,0.0
0.12,10.0,H_rent,var_l2,1.524974
0.12,10.0,Q,var_l2,0.007125
0.12,10.0,Y,var_l2,8.5
0.13,8.0,C,var_l2,0.8002
0.13,8.0,H_own,var_l2,0.0
0.13,8.0,H_rent,var_l2,1.364316
0.13,8.0,Q,var_l2,0.073588
0.13,8.0,Y,var_l2,7.0
0.13,9.0,C,var_l2,0.830615
0.13,9.0,H_own,var_l2,0.0
0.13,9.0,H_rent,var_l2,1.393481
0.13,9.0,Q,var_l2,0.056648
0.13,9.0,Y,var_l2,8.0
0.13,10.0,C,var_l2,0.941676
0.13,10.0,H_own,var_l2,0.0
0.13,10.0,H_rent,var_l2,1.6040845
0.13,10.0,Q,var_l2,0.011571
0.13,10.0,Y,var_l2,9.0
0.14,8.0,C,var_l2,0.811621
0.14,8.0,H_own,var_l2,0.0
0.14,8.0,H_rent,var_l2,1.382443
0.14,8.0,Q,var_l2,0.085902
0.14,8.0,Y,var_l2,7.0
0.14,9.0,C,var_l2,0.8168515
0.14,9.0,H_own,var_l2,0.0
0.14,9.0,H_rent,var_l2,1.3922915
0.14,9.0,Q,var_l2,0.036058
0.14,9.0,Y,var_l2,7.5
0.14,10.0,C,var_l2,0.943478
0.14,10.0,H_own,var_l2,0.0
0.14,10.0,H_rent,var_l2,1.607183
0.14,10.0,Q,var_l2,0.018804
0.14,10.0,Y,var_l2,9.0
0.17,9.0,C,var_l2,0.96265
0.17,9.0,H_own,var_l2,0.0
0.17,9.0,H_rent,var_l2,1.640062
0.17,9.0,Q,var_l2,0.123208
0.17,9.0,Y,var_l2,9.0
0.17,10.0,C,var_l2,0.947906
0.17,10.0,H_own,var_l2,0.0
0.17,10.0,H_rent,var_l2,1.614806
0.17,10.0,Q,var_l2,0.042224
0.17,10.0,Y,var_l2,9.0
0.18,8.0,C,var_l2,0.730465
0.18,8.0,H_own,var_l2,0.0
0.18,8.0,H_rent,var_l2,1.244602
0.18,8.0,Q,var_l2,0.14366
0.18,8.0,Y,var_l2,7.0
0.18,9.0,C,var_l2,0.78898
0.18,9.0,H_own,var_l2,0.0
0.18,9.0,H_rent,var_l2,1.351532
0.18,9.0,Q,var_l2,0.093261
0.18,9.0,Y,var_l2,8.0
0.19,8.0,C,var_l2,0.779539
0.19,8.0,H_own,var_l2,0.0
